Date,Removed_Ticker,Removed_Security
"March 3, 2009",JNY,Jones Apparel Group
"December 31, 2008",WB,Wachovia Bank
"September 16, 2008",LEH,Lehman Brothers
"September 12, 2008",FRE,Freddie Mac
"September 12, 2008",FNM,Fannie Mae
"July 1, 2008",CFC,Countrywide Financial Corp
"June 23, 2008",BC,Brunswick
"June 23, 2008",OMX,OfficeMax
"June 10, 2008",ABK,Ambac Financial
"December 20, 2007",TRB,Tribune Media
"December 13, 2007",DJ,Dow Jones
"October 26, 2007",AV,Avaya
"October 2, 2007",SLR,Solectron
"October 1, 2007",NCR,NCR Corporation
"September 27, 2007",MXIM,Maxim Integrated Products
"September 26, 2007",FDC,First Data
"August 24, 2007",KSE,KeySpan
"July 2, 2007",ADCT,ADC Telecommunications
"March 30, 2007",TSG,Sabre Corporation
"January 10, 2007",SBL,Symbol Technologies
"June 2, 2006",ABS,Albertsons
"November 18, 2005",T,AT&T Corporation
"July 1, 2005",GLK,Great Lakes Chemical
"September 25, 2003",QTRN,Quintiles Transnational
"December 5, 2000",BS,Bethlehem Steel
"December 5, 2000",OI,Owens-Illinois
"December 5, 2000",GRA,WR Grace
"December 5, 2000",CCK,Crown Holdings
"July 27, 2000",RAD,RiteAid
"June 12, 2000",TMC,Times Mirror
"June 7, 2000",SMS,Shared Medical Systems
"December 8, 1999",LDW,Laidlaw
"June 9, 1999",HPH,Harnischfeger Industries
"December 11, 1998",AN,Amoco
"December 11, 1998",GRN,General Re
"December 11, 1998",SUN,SunAmerica
"June 17, 1997",USL,USLife
