Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
IT,Gartner,Information Technology,IT Consulting & Other Services,Aktuell,
GE,GE Aerospace,Industrials,Aerospace & Defense,Aktuell,
GEHC,GE HealthCare,Health Care,Health Care Equipment,Aktuell,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,Aktuell,
GEN,Gen Digital,Information Technology,Systems Software,Aktuell,
GNRC,Generac,Industrials,Electrical Components & Equipment,Aktuell,
GD,General Dynamics,Industrials,Aerospace & Defense,Aktuell,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Aktuell,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Aktuell,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,Aktuell,
GILD,Gilead Sciences,Health Care,Biotechnology,Aktuell,
GPN,Global Payments,Financials,Transaction & Payment Processing Services,Aktuell,
GL,Globe Life,Financials,Life & Health Insurance,Aktuell,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,Aktuell,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,Aktuell,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,Aktuell,
HIG,Hartford (The),Financials,Property & Casualty Insurance,Aktuell,
HAS,Hasbro,Consumer Discretionary,Leisure Products,Aktuell,
HCA,HCA Healthcare,Health Care,Health Care Facilities,Aktuell,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,Aktuell,
HSIC,Henry Schein,Health Care,Health Care Distributors,Aktuell,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,Aktuell,
HES,Hess Corporation,Energy,Integrated Oil & Gas,Aktuell,
"HPE,Hewlett Packard Enterprise,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
"HLT,Hilton Worldwide,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
HOLX,Hologic,Health Care,Health Care Equipment,Aktuell,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,Aktuell,
HON,Honeywell,Industrials,Industrial Conglomerates,Aktuell,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,Aktuell,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Aktuell,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,Aktuell,
"HPQ,HP Inc.,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
HUM,Humana,Health Care,Managed Health Care,Aktuell,
HBAN,Huntington Bancshares,Financials,Regional Banks,Aktuell,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Aktuell,
IBM,IBM,Information Technology,IT Consulting & Other Services,Aktuell,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,Aktuell,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
INCY,Incyte,Health Care,Biotechnology,Aktuell,
