Datum,Tatsächlich,Vorhergesagt
2022-03-10,4252.549720678071,4208.244037936238
2022-03-11,4279.499882023811,4115.904985245288
2022-03-14,4202.749925545795,4123.553047565074
2022-03-15,4188.819807728723,4074.609603327554
2022-03-16,4288.1400363463035,4174.662977190455
2022-03-17,4345.1097555948945,4240.589818784065
2022-03-18,4407.339711393579,4282.133760936413
2022-03-21,4462.399743075948,4331.225481740403
2022-03-22,4469.100124731776,4327.497794533119
2022-03-23,4493.100155454304,4386.2049283322995
2022-03-24,4469.980113919737,4302.560469669406
2022-03-25,4522.910192121926,4395.827504446643
2022-03-28,4541.089830376586,4385.082825716963
2022-03-29,4602.85991392564,4425.3760872651765
2022-03-30,4624.200278506614,4490.574797796871
2022-03-31,4599.0201239036105,4436.2231985987455
2022-04-01,4540.319795067626,4394.361572111957
2022-04-04,4547.970364479115,4405.326516755595
2022-04-05,4572.450324184902,4442.366647740419
2022-04-06,4494.169967299822,4379.8802522760525
2022-04-07,4474.649751295656,4332.276311320165
2022-04-08,4494.149910566193,4376.436940899148
2022-04-11,4462.640065723535,4351.071261510078
2022-04-12,4437.589921733161,4269.562486822688
2022-04-13,4394.29996928724,4299.13112637485
2022-04-14,4449.12003647798,4313.207371822646
2022-04-18,4385.629729864304,4266.514579623035
2022-04-19,4390.629945189139,4267.038561789086
2022-04-20,4472.259776590217,4339.493512022891
2022-04-21,4489.169751974987,4323.9276959472045
2022-04-22,4385.829939044634,4283.563519519375
2022-04-25,4255.339755588211,4146.614709678543
2022-04-26,4278.139963852591,4181.570014833851
2022-04-27,4186.520088324614,4063.736346609076
2022-04-28,4222.579946453334,4112.859943293297
2022-04-29,4253.749901292176,4192.594771522417
2022-05-02,4130.60979439877,4003.927525084146
2022-05-03,4159.779806370061,4063.771804048884
2022-05-04,4181.180341151921,4084.500796410139
2022-05-05,4270.430298708088,4191.593009308854
2022-05-06,4128.170036015217,4003.3702344140333
2022-05-09,4081.2698715161246,4032.718966208195
2022-05-10,4035.1798557932493,3873.2915721529575
2022-05-11,3990.080141293293,3959.4194842262373
2022-05-12,3903.950080284267,3856.384820171807
2022-05-13,3963.9000152565136,3844.3325140407255
2022-05-16,4013.0200303811584,3977.004941747146
2022-05-17,4051.999934032647,3902.7491833582467
2022-05-18,4051.9798772990184,4023.1823475236893
2022-05-19,3899.000006793504,3796.1974277996346
2022-05-20,3927.759930193279,3842.899532054144
2022-05-23,3919.419910563302,3809.453496104398
2022-05-24,3942.9400123025703,3916.35051400619
2022-05-25,3929.590107136901,3816.3770089218456
2022-05-26,3984.5999969851987,3918.136279611063
2022-05-27,4077.430081494095,3971.214276223764
2022-05-31,4151.089868369454,4067.041767942283
2022-06-01,4149.7797338763485,4014.788246344106
2022-06-02,4095.4098687243827,4017.9393024595634
2022-06-03,4137.569839123898,4071.23649051835
2022-06-06,4134.720350324787,3980.065742561274
2022-06-07,4096.470368515002,4050.0275691738357
2022-06-08,4147.120067734795,4034.6017920775926
2022-06-09,4101.650019974622,4013.6937217375093
2022-06-10,3974.3900451002996,3919.773052337551
2022-06-13,3838.150025899668,3797.8406473333603
2022-06-14,3763.519994535018,3652.864488013584
2022-06-15,3764.050065352349,3696.4191177122125
2022-06-16,3728.1800298811872,3746.0530866360937
2022-06-17,3665.899932248431,3556.2537092156713
2022-06-21,3715.310053698777,3651.0658287942356
2022-06-22,3733.889752158139,3733.0656352995725
2022-06-23,3774.709861120064,3682.2458119998923
2022-06-24,3821.7500645986006,3733.663755748858
2022-06-27,3920.7601301568507,3857.6885078576747
2022-06-28,3912.9999650223185,3816.823271245085
2022-06-29,3825.0902270597003,3762.232423867245
2022-06-30,3785.989983006439,3738.4594640218716
2022-07-01,3781.000154204376,3695.8933447663735
2022-07-05,3792.6101377277523,3754.658499830694
2022-07-06,3831.9800732171284,3726.7982641965505
2022-07-07,3858.850007628353,3785.8950716776603
2022-07-08,3888.259984091274,3830.862268473284
2022-07-11,3880.939992628701,3806.458954142436
2022-07-12,3851.949774948153,3762.823739353335
2022-07-13,3779.6699629776417,3745.8188526397867
2022-07-14,3763.989895151463,3712.3001110306363
2022-07-15,3818.0001717219425,3695.958529150667
2022-07-18,3883.7901977397273,3815.0081368516844
2022-07-19,3860.7299682500893,3753.64456031457
2022-07-20,3935.3202443034393,3882.9008964968675
2022-07-21,3955.4700984811648,3863.8720704666052
2022-07-22,3998.4298311341267,3906.0435018567664
2022-07-25,3965.7198056773636,3868.962182936812
2022-07-26,3953.2198045992122,3879.611592181755
2022-07-27,3951.4300992788053,3823.802656391927
2022-07-28,4026.129971055198,3968.663489493338
2022-07-29,4087.3302284756214,3958.664133311541
2022-08-01,4112.380014310038,4048.26365108238
2022-08-02,4104.210118759947,4004.1510144017234
2022-08-03,4107.9600116366055,3998.2102815320836
2022-08-04,4154.850147768884,4068.120533686743
2022-08-05,4115.8702441173955,4036.122164117842
2022-08-08,4155.930346137175,4030.844019769866
2022-08-09,4133.1097229832085,4052.15537371827
2022-08-10,4181.019887282891,4008.69565534842
2022-08-11,4227.400009331468,4141.243086625618
2022-08-12,4225.020062992844,4100.864583959483
2022-08-15,4269.3701570734265,4180.0016498952755
2022-08-16,4290.459812484041,4165.932567566633
2022-08-17,4280.3999279454,4188.630343227123
2022-08-18,4273.129720160941,4142.351579314563
2022-08-19,4266.310072571214,4171.733619612787
2022-08-22,4195.080015712592,4097.907648373075
2022-08-23,4133.08966624958,4020.5681671887583
2022-08-24,4126.5497384627815,4043.571449881129
2022-08-25,4153.259935316892,4038.9107664041517
2022-08-26,4198.740369599836,4102.795760883164
2022-08-29,4034.5799445641755,3948.5408551683945
2022-08-30,4041.249882963603,3943.9141965073945
2022-08-31,4000.670096649265,3896.355383202172
2022-09-01,3936.729946152773,3886.432672395313
2022-09-02,3994.65988152384,3868.4382007707613
2022-09-06,3930.889855107235,3865.7144247127876
2022-09-07,3909.4298664364037,3822.7905076555912
2022-09-08,3959.9398848327114,3911.628227704496
2022-09-09,4022.939875940356,3900.5433008150435
2022-09-12,4083.6698745883773,3992.9364350555993
2022-09-13,4037.1199866158718,4013.094526820351
2022-09-14,3940.729831887875,3792.9525348232714
2022-09-15,3932.4098689915268,3889.8304979655954
2022-09-16,3880.9500209955154,3807.76479076405
2022-09-19,3849.910076769302,3784.2966216386417
2022-09-20,3875.2299121957917,3830.0718182747373
2022-09-21,3871.3997923846186,3756.776992320229
2022-09-22,3782.360072375596,3743.688541003649
2022-09-23,3727.1399449801543,3675.1256715616914
2022-09-26,3682.720010487829,3605.6795895281543
2022-09-27,3686.439818264044,3612.2635704977442
2022-09-28,3651.940087486874,3604.7505329739947
2022-09-29,3687.010002548632,3668.4625381254596
2022-09-30,3633.4800131173693,3546.2131650987435
2022-10-03,3609.7801170873577,3553.6624508620303
2022-10-04,3726.4598068165656,3641.0131073747475
2022-10-05,3753.249872449233,3747.6773239040635
2022-10-06,3771.969968043996,3684.9022547378268
2022-10-07,3706.740097943985,3683.9918222934652
2022-10-10,3647.510056446627,3540.629155562929
2022-10-11,3595.8600276371003,3565.728008763545
2022-10-12,3590.8300853677797,3529.257345751394
2022-10-13,3520.3700638181185,3528.6685373570076
2022-10-14,3690.4099770546604,3593.520194765734
2022-10-17,3638.6499943661333,3537.756744782528
2022-10-18,3746.260100779619,3651.8251194244663
