Date,Open,High,Low,Close,Volume,Close_Direction,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1996-02-15,655.5800170898438,656.8400268554688,651.1500244140625,651.3200073242188,415320000,1.0,53.99652,1.82978,1.89448,0.0,0.0,0.0,0.0,0.0,0.0,-0.7261,0.0,0.0,0.0,23.0,0.0,0.0953,0.0,0.0,0.0,0.0,0.0
1996-02-16,651.3200073242188,651.4199829101562,646.989990234375,647.97998046875,445570000,0.0,55.15646,1.99767,1.91512,0.0,0.0,0.0,0.0,0.0,0.0,1.15994,1.0,0.0,1.0,0.0,0.0,0.16789,0.0,0.0,0.0,0.0,0.0
1996-02-20,647.97998046875,647.97998046875,638.7899780273438,640.6500244140625,395910000,1.0,54.5556,2.06017,1.94413,0.0,0.0,0.0,0.0,0.0,0.0,-0.60086,0.0,0.0,2.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
1996-02-21,640.6500244140625,648.1099853515625,640.6500244140625,648.0999755859375,431220000,0.0,57.09813,2.31939,2.01918,0.0,0.0,0.0,0.0,0.0,0.0,2.54253,0.0,0.0,3.0,0.0,0.0,0.25922,0.0,0.0,0.0,0.0,0.0
1996-02-22,648.0999755859375,659.75,648.0999755859375,658.8599853515625,485470000,1.0,52.69839,2.17218,2.04978,0.0,0.0,0.0,0.0,0.0,0.0,-4.39974,0.0,0.0,4.0,0.0,0.0,-0.14721,0.0,0.0,0.0,0.0,0.0
1996-02-23,658.8599853515625,663.0,652.25,659.0800170898438,443130000,0.0,52.7274,2.03448,2.04672,0.0,0.0,0.0,0.0,0.0,0.0,0.02901,0.0,1.0,0.0,1.0,0.0,-0.1377,0.0,0.0,0.0,0.0,0.0
1996-02-26,659.0800170898438,659.0800170898438,650.1599731445312,650.4600219726562,399330000,1.0,49.01806,1.629,1.96318,0.0,0.0,0.0,0.0,0.0,0.0,-3.70934,0.0,0.0,0.0,2.0,0.0,-0.40548,0.0,0.0,0.0,0.0,0.0
1996-02-27,650.4600219726562,650.6199951171875,643.8699951171875,647.239990234375,431340000,1.0,56.8408,1.94927,1.9604,0.0,0.0,0.0,0.0,0.0,0.0,7.82274,0.0,0.0,0.0,3.0,0.0,0.32027,0.0,0.0,0.0,0.0,0.0
1996-02-28,647.239990234375,654.3900146484375,643.989990234375,644.75,447790000,1.0,58.12715,2.30004,2.02832,0.0,0.0,0.0,0.0,0.0,0.0,1.28635,1.0,0.0,1.0,0.0,0.0,0.35077,0.0,0.0,0.0,0.0,0.0
1996-02-29,644.75,646.9500122070312,639.010009765625,640.4299926757812,453170000,0.0,58.66478,2.5981,2.14228,0.0,0.0,0.0,0.0,0.0,0.0,0.53763,0.0,0.0,2.0,0.0,0.0,0.29806,0.0,0.0,0.0,0.0,0.0
1996-03-01,640.4299926757812,644.3800048828125,635.0,644.3699951171875,471480000,0.0,58.6386,2.80042,2.27391,0.0,0.0,0.0,0.0,0.0,0.0,-0.02618,0.0,0.0,3.0,0.0,0.0,0.20232,0.0,0.0,0.0,0.0,0.0
1996-03-04,644.3699951171875,653.5399780273438,644.3699951171875,650.8099975585938,417270000,0.0,45.84867,2.00007,2.21914,0.0,0.0,0.0,0.0,0.0,0.0,-12.78993,0.0,1.0,0.0,1.0,0.0,-0.80035,0.0,0.0,0.0,0.0,0.0
1996-03-05,650.8099975585938,655.7999877929688,648.77001953125,655.7899780273438,445700000,0.0,44.02433,1.18669,2.01265,0.0,0.0,0.0,0.0,0.0,0.0,-1.82435,0.0,0.0,0.0,2.0,0.0,-0.81338,0.0,0.0,0.0,0.0,0.0
1996-03-06,655.7899780273438,656.969970703125,651.6099853515625,652.0,428220000,0.0,37.25668,-0.15732,1.57866,0.0,0.0,0.0,0.0,0.0,0.0,-6.76765,0.0,0.0,0.0,3.0,0.0,-1.34401,0.0,1.0,0.0,1.0,0.0
1996-03-07,652.0,653.6500244140625,649.5399780273438,653.6500244140625,425790000,1.0,35.67972,-1.39359,0.98421,0.0,0.0,0.0,0.0,0.0,0.0,-1.57696,0.0,0.0,0.0,4.0,0.0,-1.23628,0.0,1.0,0.0,2.0,0.0
1996-03-08,653.6500244140625,653.6500244140625,627.6300048828125,633.5,546550000,1.0,41.98336,-1.90516,0.40633,0.0,0.0,0.0,0.0,0.0,0.0,6.30365,0.0,0.0,0.0,5.0,0.0,-0.51157,0.0,0.0,0.0,0.0,0.0
1996-03-11,633.5,640.4099731445312,629.9500122070312,640.02001953125,449500000,1.0,47.74749,-1.82317,-0.03957,0.0,0.0,0.0,0.0,0.0,0.0,5.76413,0.0,0.0,0.0,6.0,0.0,0.08199,0.0,0.0,0.0,0.0,0.0
1996-03-12,640.02001953125,640.02001953125,628.8200073242188,637.0900268554688,454980000,0.0,50.06755,-1.53793,-0.33924,0.0,0.0,0.0,0.0,0.0,0.0,2.32006,0.0,0.0,0.0,7.0,0.0,0.28524,0.0,0.0,0.0,0.0,0.0
1996-03-13,637.0900268554688,640.52001953125,635.1900024414062,638.5499877929688,413030000,1.0,47.0303,-1.56735,-0.58486,0.0,0.0,0.0,0.0,0.0,0.0,-3.03725,0.0,0.0,0.0,8.0,0.0,-0.02942,0.0,0.0,0.0,0.0,0.0
1996-03-14,638.5499877929688,644.1699829101562,638.5499877929688,640.8699951171875,492630000,1.0,48.99611,-1.413,-0.75049,0.0,0.0,0.0,0.0,0.0,0.0,1.9658,0.0,0.0,0.0,9.0,0.0,0.15435,0.0,0.0,0.0,0.0,0.0
1996-03-15,640.8699951171875,642.8699951171875,638.3499755859375,641.4299926757812,529970000,1.0,50.44201,-1.15949,-0.83229,0.0,0.0,0.0,0.0,0.0,0.0,1.44591,0.0,0.0,0.0,10.0,0.0,0.2535,0.0,0.0,0.0,0.0,0.0
1996-03-18,641.4299926757812,652.6500244140625,641.4299926757812,652.6500244140625,437100000,1.0,53.2016,-0.72271,-0.81037,0.0,0.0,0.0,0.0,0.0,0.0,2.75958,1.0,0.0,1.0,0.0,0.0,0.43679,0.0,0.0,0.0,0.0,0.0
1996-03-19,652.6500244140625,656.1799926757812,649.7999877929688,651.6900024414062,438300000,0.0,56.60658,-0.0779,-0.66388,0.0,0.0,0.0,0.0,0.0,0.0,3.40498,0.0,0.0,2.0,0.0,0.0,0.64481,0.0,0.0,0.0,0.0,0.0
1996-03-20,651.6900024414062,653.1300048828125,645.5700073242188,649.97998046875,409780000,1.0,54.96098,0.3157,-0.46797,0.0,0.0,0.0,0.0,0.0,0.0,-1.64561,0.0,0.0,3.0,0.0,1.0,0.3936,0.0,0.0,0.0,0.0,0.0
1996-03-21,649.97998046875,651.5399780273438,648.0999755859375,649.1900024414062,367180000,1.0,57.5083,0.83586,-0.2072,0.0,0.0,0.0,0.0,0.0,0.0,2.54732,0.0,0.0,4.0,0.0,0.0,0.52016,0.0,0.0,0.0,0.0,0.0
