Date,Actual,Predicted,Percentage_Error
1980-04-23,103.7300033569336,115.0794714603104,10.94135518758583
1980-04-24,104.4000015258789,116.19674461798334,11.299562183608046
1980-04-25,105.16000366210938,116.58434144959077,10.863767011828035
1980-04-28,105.63999938964844,116.94647166707176,10.702832584956674
1980-04-29,105.86000061035156,118.04656957833356,11.511967596560101
1980-04-30,106.29000091552734,118.18247986063648,11.188709043817333
1980-05-01,105.45999908447266,118.23518304980573,12.113772118564354
1980-05-02,105.58000183105467,118.02526757812805,11.787521814015353
1980-05-05,106.37999725341795,117.8590370134745,10.79059978983759
1980-05-06,106.25,118.35444055544394,11.39241464041783
1980-05-07,107.18000030517578,118.84128770881222,10.880096445636328
1980-05-08,106.12999725341795,119.45748019853897,12.557696494891601
1980-05-09,104.72000122070312,118.89476135155684,13.535867041272882
