Date,Close,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14
2012-05-23,1318.8599853515625,36.01199646517674,0,0,6.341538564723216,13.988003534823257,0,0.0,3.0,0.896569620100668,6.082034745779463,0.0
2012-05-24,1320.6800537109375,37.00407161707226,0,0,11.914912056962972,12.995928382927737,0,0.0,3.0,0.8441931268395381,5.704134775414727,0.0
2012-05-25,1317.8199462890625,36.05799371362406,0,0,12.835668844961958,13.942006286375943,0,0.0,3.0,0.7758926770772332,5.20450555955634,0.0
2012-05-29,1332.4200439453125,43.93764220672972,0,0,9.411356978431456,6.06235779327028,0,0.0,3.0,0.672918213473545,5.559994116245642,0.0
2012-05-30,1313.3199462890625,37.437894340422346,0,0,2.593274658510964,12.562105659577654,0,0.0,3.0,0.6174244107604915,5.539321437691802,0.0
2012-05-31,1310.3299560546875,36.52694959928352,0,0,0.5149531341067757,13.473050400716481,0,0.0,3.0,0.5341858238121973,5.365415353332533,0.0
2012-06-01,1278.0400390625,28.47029958625447,0,1,-8.533772030817794,21.52970041374553,0,0.0,4.0,0.5481755410854958,5.427464402322597,0.0
2012-06-04,1278.1800537109375,28.54389853984549,0,2,-7.514095173778568,21.45610146015451,0,0.0,5.0,0.6177286683698421,5.579646630971308,0.0
2012-06-05,1285.5,32.45668978559293,0,0,-11.480952421136791,17.54331021440707,0,0.0,5.0,0.6519522385376921,5.558523541835545,0.0
2012-06-06,1315.1300048828125,45.47250607545246,0,0,8.034611735030111,4.527493924547542,0,0.0,4.0,0.7018012626849439,6.350292991303399,0.0
2012-06-07,1314.989990234375,45.42795699852569,0,0,8.901007399242168,4.572043001474313,0,0.0,3.0,0.7241038825037515,6.4176538436427455,0.0
2012-06-08,1325.6600341796875,49.48913515681512,0,0,21.018835570560647,0.5108648431848835,0,0.0,2.0,0.7446583471371837,6.324908892601094,0.0
2012-06-11,1308.9300537109375,43.96456470908589,0,0,15.420666169240402,6.0354352909141085,0,0.0,2.0,0.7404883691384181,6.474887154352523,0.0
2012-06-12,1324.1800537109375,49.49870609257293,0,0,17.042016306980003,0.501293907427069,0,0.0,2.0,0.7793694578788464,7.0400287885625765,0.0
2012-06-13,1314.8800048828125,46.48369958186719,0,0,1.0111935064147346,3.5163004181328077,0,0.0,2.0,0.805290478861677,7.217062998317654,0.0
2012-06-14,1329.0999755859375,51.361997250598144,0,0,5.934040252072457,1.3619972505981437,0,0.0,2.0,0.8611862926461676,7.7505775481755785,0.0
2012-06-15,1342.8399658203125,55.57580029491236,0,0,6.086665138097246,5.575800294912362,0,0.0,2.0,0.9237820434534674,8.497051619051808,0.0
2012-06-18,1344.780029296875,56.15342843119183,0,0,12.188863722105935,6.153428431191827,0,0.0,2.0,0.9596916208745317,9.252457415813666,0.0
2012-06-19,1357.97998046875,59.96744923924666,0,0,10.46874314667373,9.967449239246662,0,0.0,2.0,0.9786317645648799,10.068808762944771,0.0
2012-06-20,1355.68994140625,59.00845301891114,0,0,12.524753437043948,9.00845301891114,0,0.0,2.0,0.9922201502745265,10.40799959533526,0.0
2012-06-21,1325.510009765625,48.09296992651333,0,0,-3.269027324084817,1.9070300734866734,0,0.0,1.0,0.9910115986397755,9.011770914628489,0.0
2012-06-22,1335.02001953125,51.15889546815378,0,0,-4.416904826758582,1.15889546815378,0,0.0,0.0,0.9896923396565379,7.0835012248174944,0.0
2012-06-25,1313.719970703125,44.77924983514976,0,0,-11.374178596042064,5.220750164850237,0,0.0,0.0,0.9917957368663964,5.344262540899689,0.0
2012-06-26,1319.989990234375,46.87921857333431,0,0,-13.088230665912349,3.120781426665687,0,0.0,0.0,0.9912722788711039,5.2557766329282565,0.0
2012-06-27,1331.8499755859375,50.698409744063696,0,0,-8.310043274847445,0.6984097440636958,0,0.0,0.0,0.9900630465784415,5.044398788300884,0.0
2012-06-28,1329.0400390625,49.78513040730568,0,0,1.692160480792353,0.2148695926943205,0,0.0,0.0,0.9896563447702692,5.038482343989719,0.0
2012-06-29,1362.1600341796875,59.130334947414966,0,0,7.971439479261186,9.130334947414966,0,0.0,0.0,0.9845385609203166,5.049607675913153,0.0
2012-07-02,1365.510009765625,59.94237551189087,0,0,15.16312567674111,9.942375511890873,0,0.0,0.0,0.9841778025767586,5.404123208244867,0.0
2012-07-03,1374.02001953125,62.00750623003592,0,0,15.128287656701609,12.007506230035922,0,0.0,0.0,0.982516068306234,5.600364633902799,0.0
