Date,Close+1,Close_Direction,Volume,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1987-10-14,298.07999,0,207400000,35.08429,-2.71478,-1.19688,0,0,0,0,0,0,-8.68245,0,0,0,5,0,-0.81762,0,1,0,1,0
1987-10-15,282.70001,0,263200000,30.13007,-3.89480,-1.73647,0,0,0,0,0,0,-4.95422,0,0,0,6,0,-1.18002,0,1,0,2,0
1987-10-16,224.84000,0,338500000,22.70350,-6.00182,-2.58954,0,1,0,1,0,1,-7.42657,0,0,0,7,0,-2.10702,0,1,0,3,0
1987-10-19,236.83000,1,604300000,11.35964,-12.19984,-4.51160,0,1,0,2,0,0,-11.34385,0,0,0,8,0,-6.19802,0,1,0,4,0
1987-10-20,258.38000,1,608100000,20.25193,-15.96034,-6.80135,0,1,0,3,0,0,8.89229,0,0,0,9,0,-3.76050,0,1,0,5,0
1987-10-21,248.25000,0,449600000,33.21914,-17.00563,-8.84220,0,0,0,0,0,0,12.96721,0,0,0,10,0,-1.04529,0,0,0,0,0
1987-10-22,248.22000,0,392200000,30.69271,-18.43888,-10.76154,0,0,0,0,0,0,-2.52644,0,0,0,11,0,-1.43325,0,0,0,0,0
1987-10-23,227.67000,0,245600000,30.68526,-19.35406,-12.48004,0,0,0,0,0,0,-0.00744,0,0,0,12,0,-0.91518,0,0,0,0,0
1987-10-26,233.19000,1,308800000,26.02894,-21.48984,-14.28200,0,1,0,1,0,1,-4.65632,0,0,0,13,0,-2.13578,0,0,0,0,0
1987-10-27,233.28000,1,260200000,29.13944,-22.47793,-15.92119,0,1,0,2,0,0,3.11050,0,0,0,14,0,-0.98809,0,0,0,0,0
1987-10-28,244.77000,1,279400000,29.19172,-22.98874,-17.33470,0,1,0,3,0,0,0.05228,0,0,0,15,0,-0.51081,0,0,0,0,0
1987-10-29,251.78999,1,258100000,35.71284,-22.21039,-18.30984,0,0,0,0,0,0,6.52112,0,0,0,16,0,0.77836,0,0,0,0,0
1987-10-30,255.75000,1,303400000,39.38577,-20.78745,-18.80536,0,0,0,0,0,0,3.67294,0,0,0,17,0,1.42293,0,0,0,0,0
1987-11-02,250.82001,0,176000000,41.41902,-19.11983,-18.86825,0,0,0,0,0,0,2.03325,0,0,0,18,0,1.66762,0,0,0,0,0
1987-11-03,248.96001,0,227800000,39.63645,-17.98867,-18.69234,0,0,0,0,0,0,-1.78256,1,0,1,0,0,1.13116,0,0,0,0,0
1987-11-04,254.48000,1,202500000,38.95527,-17.04581,-18.36303,0,0,0,0,0,0,-0.68118,0,0,2,0,0,0.94286,0,0,0,0,0
1987-11-05,250.41000,0,226000000,42.13364,-15.67251,-17.82493,0,0,0,0,0,0,3.17837,0,0,3,0,0,1.37330,0,0,0,0,0
1987-11-06,243.17000,0,228290000,40.46089,-14.74263,-17.20847,0,0,0,0,0,0,-1.67275,0,0,4,0,0,0.92988,0,0,0,0,0
1987-11-09,239.00000,0,160690000,37.60110,-14.42364,-16.65150,0,0,0,0,0,0,-2.85978,0,0,5,0,0,0.31900,0,0,0,0,0
1987-11-10,241.89999,1,184310000,36.02187,-14.34199,-16.18960,0,0,0,0,0,0,-1.57923,0,0,6,0,0,0.08165,0,0,0,0,0
1987-11-11,248.52000,1,147850000,37.97294,-13.88324,-15.72833,0,0,0,0,0,0,1.95107,0,0,7,0,0,0.45875,0,0,0,0,0
1987-11-12,245.64000,0,206280000,42.29880,-12.83751,-15.15017,0,0,0,0,0,0,4.32585,0,0,8,0,0,1.04572,0,0,0,0,0
1987-11-13,246.75999,1,174920000,40.96043,-12.10166,-14.54046,0,0,0,0,0,0,-1.33836,0,0,9,0,0,0.73585,0,0,0,0,0
1987-11-16,243.03999,0,164340000,41.73254,-11.29788,-13.89195,0,0,0,0,0,0,0.77211,0,0,10,0,0,0.80378,0,0,0,0,0
1987-11-17,245.55000,1,148240000,39.86759,-10.83615,-13.28079,0,0,0,0,0,0,-1.86496,0,0,11,0,0,0.46174,0,0,0,0,0
1987-11-18,240.05000,0,158270000,41.75880,-10.15067,-12.65476,0,0,0,0,0,0,1.89122,0,0,12,0,0,0.68548,0,0,0,0,0
1987-11-19,242.00000,1,157140000,38.87371,-9.93668,-12.11115,0,0,0,0,0,0,-2.88510,0,0,13,0,0,0.21399,0,0,0,0,0
1987-11-20,242.99001,1,189170000,40.44475,-9.50023,-11.58896,0,0,0,0,0,0,1.57104,0,0,14,0,0,0.43645,0,0,0,0,0
1987-11-23,246.39000,1,143160000,41.27004,-8.97105,-11.06538,0,0,0,0,0,0,0.82529,0,0,15,0,0,0.52919,0,0,0,0,0
1987-11-24,244.10001,0,199520000,44.13334,-8.18299,-10.48890,0,0,0,0,0,0,2.86329,0,0,16,0,0,0.78806,0,0,0,0,0
1987-11-25,240.34000,0,139780000,42.62596,-7.65498,-9.92212,0,0,0,0,0,0,-1.50738,0,0,17,0,0,0.52800,0,0,0,0,0
1987-11-27,230.30000,0,86360000,40.19823,-7.45401,-9.42850,0,0,0,0,0,0,-2.42773,0,0,18,0,0,0.20097,0,0,0,0,0
1987-11-30,232.00000,1,268910000,34.54115,-8.01252,-9.14530,0,0,0,0,0,0,-5.65708,0,0,19,0,0,-0.55851,0,1,0,1,0
1987-12-01,233.45000,1,149870000,36.17890,-8.22318,-8.96088,0,0,0,0,0,0,1.63776,0,0,20,0,0,-0.21066,0,1,0,2,0
1987-12-02,225.21001,0,148890000,37.61268,-8.17884,-8.80447,0,0,0,0,0,0,1.43377,0,0,21,0,0,0.04434,0,0,0,0,0
1987-12-03,223.92000,0,204160000,33.06647,-8.70822,-8.78522,0,0,0,0,0,0,-4.54620,0,0,22,0,0,-0.52938,0,1,0,1,0
1987-12-04,228.75999,1,184800000,32.40610,-9.12664,-8.85350,0,0,0,0,0,0,-0.66038,0,1,0,1,0,-0.41842,0,1,0,2,0
1987-12-07,234.91000,1,146660000,37.45324,-8.96436,-8.87567,0,0,0,0,0,0,5.04715,0,0,0,2,0,0.16228,0,0,0,0,0
1987-12-08,238.89000,1,227310000,43.25163,-8.24446,-8.74943,0,0,0,0,0,0,5.79839,1,0,1,0,0,0.71990,0,0,0,0,0
1987-12-09,233.57001,0,231430000,46.69558,-7.26899,-8.45334,0,0,0,0,0,0,3.44395,0,0,2,0,0,0.97547,0,0,0,0,0
1987-12-10,235.32001,1,188960000,42.94396,-6.84628,-8.13193,0,0,0,0,0,0,-3.75162,0,0,3,0,0,0.42271,0,0,0,0,0
1987-12-11,242.19000,1,151680000,44.52291,-6.29748,-7.76504,0,0,0,0,0,0,1.57895,0,0,4,0,0,0.54880,0,0,0,0,0
1987-12-14,242.81000,1,187680000,50.33366,-5.24770,-7.26157,0,0,0,0,0,0,5.81075,0,0,5,0,0,1.04977,0,0,0,0,0
1987-12-15,248.08000,1,214970000,50.83416,-4.31597,-6.67245,0,0,0,0,0,0,0.50049,0,0,6,0,0,0.93173,0,0,0,0,0
1987-12-16,242.98000,0,193820000,54.98644,-3.11640,-5.96124,0,0,0,0,0,0,4.15228,0,0,7,0,0,1.19957,0,0,0,0,0
1987-12-17,249.16000,1,191780000,50.53820,-2.54788,-5.27857,0,0,0,0,0,0,-4.44824,0,0,8,0,0,0.56851,0,0,0,0,0
1987-12-18,249.53999,1,276220000,55.26122,-1.58044,-4.53894,0,0,0,0,0,0,4.72302,0,0,9,0,0,0.96744,0,0,0,0,0
1987-12-21,249.95000,1,161790000,55.54232,-0.77415,-3.78598,0,0,0,0,0,0,0.28110,0,0,10,0,0,0.80629,0,0,0,0,0
1987-12-22,253.16000,1,192650000,55.86455,-0.10091,-3.04897,0,0,0,0,0,0,0.32223,0,0,11,0,0,0.67324,0,0,0,0,0
1987-12-23,252.03000,0,203110000,58.40641,0.68378,-2.30242,0,0,0,0,0,0,2.54185,0,0,12,0,1,0.78469,0,0,0,0,0
1987-12-24,245.57001,0,108800000,57.15844,1.20063,-1.60181,0,0,0,0,0,0,-1.24796,0,0,13,0,0,0.51685,0,0,0,0,0
1987-12-28,244.59000,0,131220000,50.51358,1.07656,-1.06614,0,0,0,0,0,0,-6.64486,0,0,14,0,0,-0.12407,0,0,0,0,0
1987-12-29,247.86000,1,111580000,49.57206,0.88890,-0.67513,0,0,0,0,0,0,-0.94151,0,0,15,0,0,-0.18765,0,0,0,0,0
1987-12-30,247.08000,0,149230000,52.73752,0.99261,-0.34158,0,0,0,0,0,0,3.16546,0,0,16,0,0,0.10370,0,0,0,0,0
1987-12-31,255.94000,1,170140000,51.90063,1.00032,-0.07320,0,0,0,0,0,0,-0.83689,0,0,17,0,0,0.00772,0,0,0,0,0
1988-01-04,258.63000,1,181810000,59.71987,1.70175,0.28179,0,0,0,0,0,0,7.81924,0,0,18,0,0,0.70143,0,0,0,0,0
1988-01-05,258.89001,1,209520000,61.75282,2.44649,0.71473,0,0,0,0,0,0,2.03296,0,0,19,0,0,0.74474,0,0,0,0,0
1988-01-06,261.07001,1,169730000,61.95271,3.02284,1.17635,0,0,0,0,0,0,0.19989,0,0,20,0,0,0.57635,0,0,0,0,0
1988-01-07,243.39999,0,175360000,63.66719,3.61385,1.66385,0,0,0,0,0,0,1.71448,0,0,21,0,0,0.59101,0,0,0,0,0
1988-01-08,247.49001,1,197300000,45.69373,2.62614,1.85631,0,0,0,0,0,0,-17.97345,0,0,22,0,0,-0.98771,0,0,0,0,0
1988-01-11,245.42000,0,158980000,49.26403,2.14863,1.91477,0,0,0,0,0,0,3.57030,0,0,23,0,0,-0.47751,0,0,0,0,0
1988-01-12,245.81000,1,165730000,47.55981,1.58490,1.84880,0,0,0,0,0,0,-1.70422,0,1,0,1,0,-0.56373,0,0,0,0,0
1988-01-13,245.88000,1,154020000,47.92532,1.15628,1.71029,0,0,0,0,0,0,0.36551,0,0,0,2,0,-0.42862,0,0,0,0,0
1988-01-14,252.05000,1,140570000,47.99539,0.81287,1.53081,0,0,0,0,0,0,0.07007,0,0,0,3,0,-0.34341,0,0,0,0,0
1988-01-15,251.88000,0,197940000,53.88496,1.02675,1.43000,0,0,0,0,0,0,5.88957,0,0,0,4,0,0.21388,0,0,0,0,0
1988-01-18,249.32001,0,135100000,53.70450,1.16906,1.37781,0,0,0,0,0,0,-0.18047,0,0,0,5,0,0.14231,0,0,0,0,0
1988-01-19,242.63000,0,153550000,50.93787,1.06301,1.31485,0,0,0,0,0,0,-2.76662,0,0,0,6,0,-0.10604,0,0,0,0,0
1988-01-20,243.14000,1,181660000,44.48797,0.43414,1.13871,0,0,0,0,0,0,-6.44990,0,0,0,7,0,-0.62887,0,0,0,0,0
1988-01-21,246.50000,1,158080000,45.05910,-0.02283,0.90640,0,0,0,0,0,0,0.57113,0,0,0,8,0,-0.45697,0,0,0,0,0
1988-01-22,252.17000,1,147050000,48.79677,-0.11256,0.70261,0,0,0,0,0,0,3.73767,0,0,0,9,0,-0.08973,0,0,0,0,0
1988-01-25,249.57001,0,275250000,54.43063,0.27073,0.61623,0,0,0,0,0,0,5.63386,0,0,0,10,1,0.38329,0,0,0,0,0
1988-01-26,249.38000,0,138380000,51.62554,0.36053,0.56509,0,0,0,0,0,0,-2.80509,0,0,0,11,0,0.08981,0,0,0,0,0
1988-01-27,253.28999,1,176360000,51.41700,0.41163,0.53440,0,0,0,0,0,0,-0.20854,0,0,0,12,0,0.05109,0,0,0,0,0
1988-01-28,257.07001,1,166430000,55.40880,0.75887,0.57929,0,0,0,0,0,0,3.99179,1,0,1,0,0,0.34725,0,0,0,0,0
1988-01-29,255.03999,0,211880000,58.92269,1.32383,0.72820,0,0,0,0,0,0,3.51389,0,0,2,0,0,0.56495,0,0,0,0,0
1988-02-01,255.57001,1,210660000,56.35432,1.58943,0.90045,0,0,0,0,0,0,-2.56837,0,0,3,0,0,0.26560,0,0,0,0,0
1988-02-02,252.21001,0,164920000,56.88277,1.82169,1.08469,0,0,0,0,0,0,0.52844,0,0,4,0,0,0.23226,0,0,0,0,0
1988-02-03,252.21001,0,237270000,52.53984,1.71486,1.21073,0,0,0,0,0,0,-4.34292,0,0,5,0,0,-0.10682,0,0,0,0,0
1988-02-04,250.96001,0,186490000,52.53984,1.61163,1.29091,0,0,0,0,0,0,-0.00000,0,0,6,0,0,-0.10324,0,0,0,0,0
1988-02-05,249.10001,0,161310000,50.86430,1.41266,1.31526,0,0,0,0,0,0,-1.67554,0,0,7,0,0,-0.19896,0,0,0,0,0
1988-02-08,251.72000,1,168850000,48.39132,1.09230,1.27067,0,0,0,0,0,0,-2.47298,0,1,0,1,0,-0.32036,0,0,0,0,0
1988-02-09,256.66000,1,162350000,51.93617,1.03786,1.22411,0,0,0,0,0,0,3.54486,0,0,0,2,0,-0.05444,0,0,0,0,0
1988-02-10,255.95000,0,187980000,57.81921,1.37746,1.25478,0,0,0,0,0,0,5.88304,1,0,1,0,0,0.33960,0,0,0,0,0
1988-02-11,257.63000,1,200760000,56.74417,1.57119,1.31806,0,0,0,0,0,0,-1.07504,0,0,2,0,0,0.19373,0,0,0,0,0
1988-02-12,259.82999,1,177190000,58.70088,1.83908,1.42226,0,0,0,0,0,0,1.95671,0,0,3,0,0,0.26789,0,0,0,0,0
1988-02-16,259.20999,0,135380000,61.17750,2.20351,1.57851,0,0,0,0,0,0,2.47661,0,0,4,0,0,0.36443,0,0,0,0,0
